movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
1896,Closed Circuit,2013,R,96 minutes,Mystery & Suspense,,"$9,655,979",John Crowley,"Eric Bana, Rebecca Hall, Ciarán Hinds, Riz Ahmed, Anne-Marie Duff, Kenneth Cranham, Julia Stiles, Jim Broadbent, Denis Moschitto, Kate Lock, Katherine Press, Patrick Warner, Ryon Nixon, Daniel Tuite, Zora Bishop, Vicky Jam, Zahra Ahmadi, Steve North, Pinar Ogun, Hasancan Cifci, Andrew Havill, James Lowe, John Humphrys, David Sibley, Doug Allen, Jemma Powell, Isaac Hempstead Wright, Luing Andrews, Neil D'Souza, Barbora Bobulova, Dexter Galang, Jonathan Chan-Pensley, Matthew Cullum, Sam Woodward, Ben Loyd-Holmes, Robert McCafferty, Angus Wright, Adjoa Andoh, Adam Tedder, Munir Khairdin, Huseyin Poyraz, Hemi Yeroham, Baris Celiloglu",Steven Knight,43%,31%
1897,Demon House,2018,NR,111 minutes,"Documentary, Horror",,,Zak Bagans,"Zak Bagans, Jay Wasley, Billy Tolley",Zak Bagans,50%,85%
1898,Copwatch,2017,NR,99 minutes,Documentary,,,Camilla Hall,"Jacob Crawford, Kevin Moore, Ramsey Orta, David Whitt",,56%,76%
1899,Awakening the Zodiac,2017,R,100 minutes,Mystery & Suspense,,,Jonathan Wright,"Shane West, Leslie Bibb, Matt Craven, Nicholas Campbell, Stephen McHattie, Kenneth Welsh, Jason Hook, John Bregar, Eva Link, Jennie Esnard, Douglas Kidd, Sandra Wilson, Renato Vettore","Mike Horrigan, Jennifer Archer, Jonathan Wright",45%,38%
1900,Free Birds,2013,PG,90 minutes,"Animation, Comedy, Kids & Family",,"$46,667,023",Jimmy Hayward,"Owen Wilson, Woody Harrelson, Amy Poehler, George Takei, Colm Meaney, Keith David, Dan Fogler, Dwight Howard, Kaitlyn Maher, Carlos Alazraqui, Jeff Biancalana, Danny Carey, Carlos Ponce, Robert Beltran, Lesley Nicol, Jason Finazzo, Scott Mosier, Lauren Bowles, Jimmy Hayward","John J. Strauss, Jimmy Hayward, Scott Mosier",19%,44%
1901,Killing Ground,2017,NR,89 minutes,"Art House & International, Drama, Mystery & Suspense",,,Damien Power,"Aaron Pedersen, Harriet Dyer, Ian Meadows, Maya Stange, Aaron Glenane",Damien Power,76%,44%
1902,Masterminds,2016,PG-13,90 minutes,Comedy,,"$17,356,894",Jared Hess,"Zach Galifianakis, Owen Wilson, Kristen Wiig, Ken Marino, Jason Sudeikis, Devin Ratray, Jon Daly, Leslie Jones, Mary Elizabeth Ellis, Kate McKinnon, Rhoda Griffis, Daniel Zacapa, Matt Corboy, Fred Galle, Nicole Michele Sobchack, Barry J. Ratcliffe, Jill Jane Clements, Tom Werme, Njema Williams, Nils Cruz, Michael Angel Fraguada, Christian Gonzalez, Karsten Friske, Dallas J. Edwards, Shelton Grant, Laura Palka, Reegus Flenory, Joseph S. Wilson, Jee An, Nicole Sobchack, Vincent Garcia, Eizzil Cintron Valenzuela, Anne Johnson, Timothy Timms, Kevin J. O'Connor, Jay Amor, Allegra Nova, Marlo Scheitler, Chris Matheny, Wil Smith Smith, Danny Comden, Candace Blanchard, Gabriel Manak, Wynn Reichert, Ross Kimball, Josue Gutierrez, Ron Stafford, Miller Carbon","Chris Bowman, Hubbel Palmer, Emily Spivey",34%,35%
1903,Old Fashioned,2015,PG-13,115 minutes,"Drama, Romance",,,Rik Swartzwelder,"Elizabeth Ann Roberts, LeJon Woods, Nini Hadjis, Tyler Hollinger, Rik Swartzwelder, Ange'le Perez, Joseph Bonamico, Maryann Nagel, Lindsay Heath, Anne Marie Nestor, Dorothy Silver",Rik Swartzwelder,19%,85%
1904,Girlfriend's Day,2017,NR,70 minutes,Comedy,,,Michael Paul Stephenson,"Amber Tamblyn, Natasha Lyonne, June Diane Raphael, Stacy Keach, Bob Odenkirk, Ed Begley Jr., Steven Michael Quezada, Rich Sommer, Hannah Nordberg, Andy Richter, David Sullivan, Echo Kellum, Toby Huss, Nate Mooney, Stephanie Courtney, Larry Fessenden, Kevin O'Grady, Alex Karpovsky, Radek Lord, Tucker Smallwood, Jason Garcia, Derek Waters, Grady Lee Richmond, Brett Paesel, Courtney Fansler","Bob Odenkirk, Eric Hoffman, Philip Zlotorynski",20%,39%
1905,Underworld: Blood Wars,2017,R,91 minutes,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",,"$30,348,260",Anna Foerster,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver, Charles Dance, James Faulkner, Peter Andersson, Clementine Nicholson, Bradley James, Daisy Head, Oliver Stark, Zuzana Stivinova, Brian Caspe, Jan Nemejovský, Driga Sveta, Dan Bradford, David Bowles, Tomasz Kwiecien-Fisher, Eva Larvoire, Jiri Jelinek, Marielle Tepper, Jordan Haj, Daniel Pietrucha, Jakub Kropacek, Sara Arnsteinova, Irena Morisakova, Terezie Kovalova, Tomas Fingerland, Jakub Mayer, Denisa Krskova, Simona Simkova, Daniel Vojtech, Jared Doreck, Lukas Vydrzal, Lukas Krampera, Adam Vosecek, Agatha Hofmanova, Anezka Noskova, Alicia Vela-Bailey",Cory Goodman,20%,50%
