movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
2541,Downsizing,2017,R,,"Comedy, Drama",,"$22,932,429",Alexander Payne,"Matt Damon, Kristen Wiig, Christoph Waltz, Jason Sudeikis, Neil Patrick Harris, Laura Dern, Hong Chau, Udo Kier, Brigette Lundy-Paine, James Van Der Beek","Alexander Payne, Jim Taylor",51%,23%
2542,Rise of the Legend,2016,NR,131 minutes,"Action & Adventure, Art House & International, Drama",,,Roy Hin Yeung Chow,"Eddie Peng, Sammo Hung Kam-Bo, Zhang Jin, Angelababy, Jing Boran, Luodan Wang, Wang Luodan, Byron Mann, Cho-lam Wong, Cho-lam Wong, Qin Junjie, Gao Taiyu, Junjie Qin, Jack Feng, Tai-Yu Gao, Tony Leung Ka Fai","Chi-long To, Christine To",67%,56%
2543,Angels in Stardust,2014,PG-13,101 minutes,"Comedy, Drama",,,William Robert Carey,"Alicia Silverstone, Billy Burke, Amanda Michalka",William Robert Carey,29%,39%
2544,The Book of Henry,2017,PG-13,105 minutes,"Drama, Mystery & Suspense",,"$4,219,536",Colin Trevorrow,"Naomi Watts, Jaeden Lieberher, Jacob Tremblay, Sarah Silverman, Lee Pace, Maddie Ziegler, Dean Norris, Maxwell Simkins, Bobby Moynihan, Jackson Nicoll, Marjan Neshat, Tonya Pinkins, Geraldine Hughes, Wass Stevens",Gregg Hurwitz,20%,63%
2545,The Rewrite,2015,NR,106 minutes,Comedy,,"$324,889",Marc Lawrence,"Hugh Grant, Marisa Tomei, Bella Heathcote, Allison Janney, J.K. Simmons, Chris Elliott, Whit Baldwin, Vanessa Wasche, Enid Graham, Shannon C. Sullivan, Jason Antoon, Jenny Neale, Caroline Aaron, Billy Griffith, Kevin Kennedy, Ali Merhi, Lily Wen, Olivia Luccardi, John Deyle, Mark Nelson, Bruce Sabath, Karen Pittman, Veanne Cox, Maggie Geha, Damaris Lewis, Lauren Macklin, Nicole Patrick, Emily Morden, Annie Qian, Aja Naomi King, Andrew Keenan-Bolger, Steven Kaplan, Kate Cullen Roberts, Jeff Chena, Lauren Palmer, Ella Rubin, Ann S. Lawrence, Frank Harts, Kevin Carolan, Christina Pawl, Liz Callaway, Sean Patrick McGowan, Rebecca Luker, Sanjiv Jhaveri",Marc Lawrence,65%,42%
2546,Dying Laughing,2017,NR,89 minutes,Documentary,,,"Paul Toogood, Lloyd Stanton","Chris Rock, Jerry Seinfeld, Amy Schumer, Kevin Hart, Bob Saget, Jamie Foxx, Sarah Silverman, Jerry Lewis, Steve Coogan, Bobby Lee, Garry Shandling",,87%,46%
2547,Big Eyes,2014,PG-13,106 minutes,Drama,,"$8,021,168",Tim Burton,"Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter, Jason Schwartzman, Terence Stamp, Jon Polito, Elisabetta Fantone, James Saito, Guido Furlani, Delaney Raye, Madeleine Arthur, Emily Bruhn, Alan MacFarlane, Tony Alcantar, Jaden Alexander, Andrew Airlie, Stephanie Bennett, Andrea Bucko, Heather Doerksen, Kurt Cotton, Aaron Craven, Emily Fonda, Barclay Hope, Peter Kelamis, David Milchard, Jill Morrison, Leela Savasta, Steven Wiig, Fiona Vroom, Traci Toguchi, Desiree Zurowski","Larry Karaszewski, Scott Alexander",72%,68%
2548,Steve Jobs,2015,R,123 minutes,Drama,,"$12,403,169",Danny Boyle,"Michael Fassbender, Kate Winslet, Seth Rogen, Katherine Waterston, Sarah Snook, Jeff Daniels, Michael Stuhlbarg, John Ortiz, Adam Shapiro, Perla Haney-Jardine, Ripley Sobo, Makenzie Moss, Vanessa Ross, Steven Wiig, John Steen, Stan Roth, Mihran Shlougian, Robert Anthony Peters, Noreen Lee, Gail Fenton, Karen Kahn, Rachel Caproni, Lily Tung Crystal, Damara Reilly, Marika Casteel, Dylan Freitas-D'Louhy, Chris Tomasso, John Chovanec, Daniel Liddle, Lora Oliver, Colm O'Riain, Anita Bennett, Greg Mills, Melissa Etezadi, Rick Chambers, Sara Welch, Emmett Miller, Marc Istook, Carlo Cecchetto, Kristina Guerrero, Bill Seward, Mark Mester, Derrin Horton",Aaron Sorkin,86%,73%
2549,M.F.A.,2017,NR,95 minutes,"Drama, Mystery & Suspense",,,Natalia Leite,"Francesca Eastwood, Clifton Collins Jr., Michael Welch, Andrew Caldwell, Leah McKendrick, Peter Vack, David Sullivan",Leah McKendrick,67%,61%
2550,Grandma,2015,R,82 minutes,Comedy,,,Paul Weitz,"Lily Tomlin, Julia Garner, Marcia Gay Harden, Judy Greer, Julian Garner, Laverne Cox, Sam Elliott, Nat Wolff, John Cho, Elizabeth Peña, Frank Collison, Sarah Burns, Mo Aboul-Zelof, Skya Chanadet, Meg Crosbie, Don R. McManus, Willem Miller, Kelsey Scott, Reggie Watkins, Amir Talai, Carlos Miranda, Marlene Martinez, Missy Doty",Paul Weitz,92%,67%
2551,Floyd Norman: An Animated Life,2016,NR,94 minutes,Documentary,,,"Erik Sharkey, Michael Fiore","Floyd Norman, Dean DeBlois, Don Hahn, Whoopi Goldberg, Leonard Maltin, Gary Trousdale, Richard Sherman, Ralph Guggenheim, Paul Dini, Scott Shaw, Ken Mitchroney, Tom Sito",,93%,74%
2552,Teen Titans: The Judas Contract,2017,PG-13,76 minutes,"Action & Adventure, Animation",,,Sam Liu,"Miguel Ferrer, Christina Ricci, Taissa Farmiga, Brandon Soo Hoo, Jake T. Austin, Kari Wahlgren, Gregg Henry, Jason Spisak, David Zayas, Kevin Smith",Ernie Altbacker,80%,71%
2553,Jackie,2016,R,95 minutes,Drama,,"$13,958,679",Pablo Larraín,"Natalie Portman, Peter Sarsgaard, Greta Gerwig, John Hurt, Max Casella, Beth Grant, Sara Verhagen, Julie Judd, Billy Crudup",Noah Oppenheim,88%,60%
2554,Glen Campbell: I'll Be Me,2014,PG,116 minutes,"Documentary, Musical & Performing Arts",,,James Keach,"Bruce Springsteen, Bill Clinton, Paul McCartney, Jay Leno, Blake Shelton, Sheryl Crow, Keith Urban, Brad Paisley, Kimberly Lynn Campbell, Ashley LeConte Campbell, Cal Campbell, Shannon Campbell, T.J. Kuenster, Ry Jarred, Siggy Sjursen, Kiefo Nilsson, Dr. Ronald Petersen, Bobbie Gale, Gerald Campbell, Jane Campbell, Sandy Campbell, Kelli Campbell, Debby Campbell-Cloyd",,100%,88%
2555,Crazy Horse,2012,NR,134 minutes,"Documentary, Special Interest",,"$150,477",Frederick Wiseman,"Philippe Decouflé, Ali Mahdavi",,85%,52%
2556,We Are the Best!,2014,NR,102 minutes,"Comedy, Drama, Musical & Performing Arts",,,Lukas Moodysson,"Mira Barkhammar, Liv LeMoyne, Mira Grosin, Alexander Karlsson, David Dencik, Johan Liljemark, Mattias Wiberg, Jonathan Salomonsson, Alvin Strollo, Anna Rydgren, Peter R. Eriksson, Charlie Falk, Lena Carlsson, Emrik Ekholm, Anne-Sophie Rase, Lily Moodysson, Vanja Engström, Linnea Thörnvall, Ylva Olaison, Kaj Ahlgren, Steve Kratz, Nick Kankaanpää, Edvin Ottosson, Karl Felix Klaesson, Victor Norlin Ericsson, Petter Andersson, Danilo Bejarnao",Lukas Moodysson,97%,78%
2557,Misery Loves Comedy,2014,NR,95 minutes,"Comedy, Documentary, Special Interest",,"$5,250",Kevin Pollak,"Tom Hanks, Larry David, Jimmy Fallon, Christopher Guest, Jon Favreau, Judd Apatow, Steve Coogan, Rob Brydon, Kevin Pollak, Sam Rockwell, William H. Macy, Jason Reitman, James L. Brooks, Kevin Smith, Amy Schumer, Nick Swardson, Lewis Black, Jim Gaffigan, Jim Jefferies, Richard Lewis, Jemaine Clement, Martin Short, Matthew Perry, Penn Jillette, Maria Bamford, Marc Maron, Janeane Garofalo, Andy Richter, Rob Delaney, Gregg ""Opie"" Hughes, Anthony Cumia, Jim Norton (II), Whoopi Goldberg, David Wain, Stephen Merchant, Robert Smigel, Lisa Kudrow, Bobby Cannavale, Kumail Nanjiani, Kathleen Madigan, Freddie Prinze Jr., Jason Alexander, Bob Saget, Paul F. Tompkins, Chris Hardwick, Kevin Nealon, Alan Zweibel","Kevin Pollak, John Varhous, John Vorhaus",36%,36%
2558,Can't Stand Losing You,2015,NR,83 minutes,"Documentary, Musical & Performing Arts",,"$23,193","Andy Grieve, Lauren Lazin","Andy Summers, Stewart Copeland, Sting",,35%,63%
2559,The Brand New Testament,2016,NR,112 minutes,Comedy,,"$89,182",Jaco Van Dormael,"Benoît Poelvoorde, Catherine Deneuve, Yolande Moreau, François Damiens, Pili Groyne, Marco Lorenzini, Serge Larivière, Laura Verlinden, Romaine Gelin, Didier De Neck, Romain Gélin, David Murgia, Gaspard Pauwels, Bilal Aya, Johan Leysen, Dominique Abel, Lola Pauwels, Sandrine Laroche, Anna Tenta",Jaco Van Dormael,84%,68%
2560,Welcome to Me,2015,R,87 minutes,"Comedy, Drama",,,Shira Piven,"Kristen Wiig, Tim Robbins, Linda Cardellini, Jennifer Jason Leigh, James Marsden, Wes Bentley, Joan Cusack, Alan Tudyk, Loretta Devine, Thomas Mann",Eliot Laurence,72%,46%
2561,Sex Tape,2014,R,94 minutes,Comedy,,"$34,279,302",Jake Kasdan,"Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper, Rob Lowe, Nat Faxon, Nancy Lenehan, Giselle Eisenberg, Harrison Holzer, Sebastian Hedges Thomas, Timothy Brennen, Krisztina Koltai, Randall Park, Joe Stapleton, James Wilcox, Melissa Paulo, Erin Brehm, Kumail Nanjiani, Artemis Pebdani, Jolene Blalock, Melvin Brown, Osmani Rodriguez, Samil Battenfeld, Dave Allen, Celeste Oliva","Kate Angelo, Jason Segel, Nicholas Stoller",17%,33%
2562,The Hunger Games: Catching Fire,2013,PG-13,146 minutes,"Action & Adventure, Science Fiction & Fantasy",,"$336,663,349",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Donald Sutherland, Philip Seymour Hoffman, Elizabeth Banks, Stanley Tucci, Jena Malone, Jeffrey Wright, Willow Shields, Paula Malcomson, Lenny Kravitz, E. Robert Mitchell, Amanda Plummer, Toby Jones, Lynn Cohen, Patrick St. Esprit, Meta Golding, Bruce Bundy, Bruno Gunn, Alan Ritchson, Maria Howell, Stephanie Leigh Schlund, Sam Claflin, Jack Quaid, Taylor St. Clair, Sandra Ellis Lafferty, Afemo Omilami, Kimberley Drummond, Deena Beasley, Leon Lamar, Mandy Neuhaus, Erika Bierman, Wilbur Fitzgerald, Jill Jane Clements, James Sutton, Megan Hayes, Stef Dawson, James Logan, Judd Derek Lormand, Maria Elena Sanchez, John Casino, Marian Green, Daniel Bernhardt, Ravi Naidu, Franco Castan","Simon Beaufoy, Michael DeBruyn, Suzanne Collins",89%,89%
2563,Sharknado 3: Oh Hell No!,2015,NR,120 minutes,Television,,,Anthony C. Ferrante,"Ian Ziering, Tara Reid, Cassandra Scerbo, John Cena, David Hasselhoff, Bo Derek, Frankie Muniz, Ryan Newman (III), Jack Griffo, Mark Cuban, Ann Coulter, Michele Bachmann, Jerry Springer, Chris Kirkpatrick, Chris Jericho, Penn Jillette, Teller, Ne-Yo, Lou Ferrigno, Grant Imahara, Jackie Collins, Brad Keselowski, Joey Logano, Edward Grimes, John Grimes, Kathie Lee Gifford, Hoda Kotb, Reza Farahan, Brian Mitchell, Anthony Weiner, Kim Richards, Holly Madison, Kendra Wilkinson, Ryan Kerrigan, Michelle Beadle, Marcellus Wiley, Max Kellerman, Bill Engvall, Lorenzo Lamas, Tim Russ, Josh Barnett, Chad Ochocinco, Maria Menounos, Keltie Knight, Harvey Levin, Jorge Bernal, Melvin Gregg, Blair Fowler, Bobak Ferdowsi, Genevieve Morton, Maryse Ouellet Mizanin, Elvis Duran, Alexis Ohanian",Thunder Levin,36%,28%
2564,Demolition,2016,R,100 minutes,"Comedy, Drama",,"$1,656,098",Jean-Marc Vallée,"Jake Gyllenhaal, Naomi Watts, Chris Cooper, Heather Lind, Judah Lewis, Polly Draper, Brendan Dooling, Hani Avital, Wass Stevens, Celia Au, Nancy Ellen Shore, Ben Cole, C.J. Wilson, Debra Monk, Malachy Cleary, Tom Kemp, Madison Arnold, Lytle Harper, Gregory Haney, Zariah Singletary, James Young, Blaire Brooks, Alfredo Narciso, Bjorn Dupaty, Jane Dashow, Royce Johnson, Elizabeth Loyacano, Mark Lewis, Stephen Badalamenti, Aaron Bantum, Kevin Herbst",Bryan Sipe,52%,53%
2565,Spectre,2015,PG-13,150 minutes,Action & Adventure,,"$208,777,731",Sam Mendes,"Daniel Craig, Christoph Waltz, Naomie Harris, Ben Whishaw, Dave Bautista, Monica Bellucci, Ralph Fiennes, Jesper Christensen, Stephanie Sigman, Andrew Scott, Rory Kinnear, Alessandro Cremona, Léa Seydoux, Tenoch Huerta Mejía, Adriana Paz, Domenico Fortunato, Marco Zingaro, Dominic Fortunato, Stefano Elfi DiClaudia, Stefano Elfi DiClaudia, Ian Bonar, Tam Williams, Richard Banham, Pip Carter, Alessandro Bressanello, Marc Zinga, Brigitte Millar, Adel Bencherif, Gediminas Adomaitis, Peppe Lanzetta, Francesco Arca, Matteo Taranto, Emilio Aniba, Benito Sagredo, Dai Tabuchi, George Lasha, Sargon Yelda, Erick Hayden, Oleg Mirochnikov, Antonio Salines, Miloud Mourad Benamara, Gido Schimanski, Nigel Barber, Patrice Naiambana, Stephane Cornicard, Gary Fannin, Sadao Ueda, Wai Wong, Joseph Balderrama, Phillip Law, Eiji Mihara, Junichi Kajioka, Victor Schefe, Harald Windisch, Tristan Matthiae, Detlef Bothe, Bodo Friesecke, Wilhem Iben, Marlon Boess, Lili Epply, Konstantin Gerlach, Lara Parmiani, Noemi Krausz, Umit Ulgen, Noah Saavedra, Amra Mallassi, Francis Attakpah, Michael Glantschnig, Ziad Abaza, Walid Mumuni, Marie Wohlmuth, Nari Blair Mangat, Michael White, Derek Horsham, Adam McGrady, Nader Dernaika, Pezhmaan Alinia, Thomas Newman","Ian Fleming , John Logan, Neal Purvis, Robert Wade",63%,61%
2566,Sembene!,2015,NR,88 minutes,Documentary,,"$28,059","Jason Silverman, Samba Gadjigo",,"Jason Silverman, Samba Gadjigo",95%,37%
2567,Ingrid Goes West,2017,R,97 minutes,Comedy,,"$3,016,057",Matt Spicer,"Aubrey Plaza, Elizabeth Olsen, O'Shea Jackson, Jr., Wyatt Russell, Billy Magnussen, Pom Klementieff","Matt Spicer, David Branson Smith",85%,71%
2568,Southern Baptist Sissies,2014,NR,138 minutes,"Comedy, Drama",,,Del Shores,"Emerson Collins, Leslie Jordan, Dale Dickey, Newell Alexander, Rosemary Alexander, Luke Stratte-McClure, Willam Belli",Del Shores,60%,81%
2569,Reset,2017,NR,106 minutes,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",,"$98,574",Yoon Hong-Seung,"Mi Yang, Wallace Huo, King Shih-chieh, Chin Shih-chieh, Liu Chang, Fursenko Alexander, Jr., Fursenko Alexander Jr., Yihan Zhang",Zha Muchun,50%,50%
2570,Storks,2016,PG,87 minutes,"Animation, Comedy, Kids & Family",,"$72,655,779","Nicholas Stoller, Doug Sweetland","Andy Samberg, Katie Crown, Kelsey Grammer, Jennifer Aniston, Ty Burrell, Anton Starkman, Keegan-Michael Key, Jordan Peele, Danny Trejo, Steve Glickman, Chris Smith, Chris Smith, Awkwafina, Ike Barinholtz, Jorma Taccone, Amanda Lund",Nicholas Stoller,63%,62%
2571,Valentine Road,2012,NR,89 minutes,"Documentary, Special Interest",,,Marta Cunningham,,,91%,88%
2572,Topkapi,1964,NR,122 minutes,"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense",,,Jules Dassin,"Melina Mercouri, Peter Ustinov, Maximilian Schell, Robert Morley, Akim Tamiroff, Gilles Ségal, Jess Hahn, Titos Vandis, Ege Ernart, Senih Orkan, Ahmet Danyal Topatan, Joseph Dassin, Amy Dalby, Despo Diamantidou, Ege Emart",Monja Danischewsky,90%,67%
2573,Electric Slide,2015,R,95 minutes,Drama,,,Tristan Patterson,"Jim Sturgess, Chloë Sevigny, Isabel Lucas, Patricia Arquette, Vinessa Shaw",Tristan Patterson,14%,27%
2574,Homefront,2013,R,100 minutes,"Action & Adventure, Drama, Mystery & Suspense",,"$12,641,119",Gary Fleder,"Jason Statham, James Franco, Winona Ryder, Kate Bosworth, Frank Grillo, Izabela Vidovic, Clancy Brown, Omar Benson Miller, Rachelle Lefevre, Marcus Hester, Chuck Zito, Pruitt Taylor Vince, Linds Edwards, Craig Austin, Owen Harn, Stuart Greer, Christa Campbell, Amin Joseph, Lance E. Nichols, Michael Traynor, Joe Chrest, Billy Slaughter, Christopher Alan Weaver, Craig Stark, Ritchie Montgomery, Karen Kaia Livers, Raeden Greer, Amber Dawn Landrum, Eddie Matthews, Greg Sproles, Luke Hawx, William Weber, Michael Papajohn, Ronn Surels, Marjorie A. Parker, Nicole Andrews, Kenny Cook, Joshua Brady, Robert Fortner, Carlos Navarro",Sylvester Stallone,42%,61%
2575,The Forbidden Room,2015,NR,130 minutes,"Comedy, Drama, Science Fiction & Fantasy",,"$34,043","Guy Maddin, Evan Johnson","Roy Dupuis, Clara Furey, Louis Negin, Udo Kier, Gregory Hlady, Mathieu Amalric, Noël Burton, Geraldine Chaplin, Caroline Dhavernas, Charlotte Rampling, Amira Casar, Karine Vanasse, Jacques Nolot, Paul Ahmarani, Slimane Dazi, Maria de Medeiros, Victor Andres Turgeon-Trelles, Andreas Apergis, Sophie Desmarais, Ariane Labed, Romano Orzari, Alexandre Bisping, Kent McQuaid, Neil Napier, Kyle Gatehouse, André Wilms, Christophe Paou, Adèle Haenel, Céline Bonnier, Lewis Furey, Victoria Diamond, Mistaya Hemingway, Cynthia Ekoe, Sienna Mazzone, Vasco Bailly-Gentaud, Éric Robidoux, Jean-François Stévenin, Graham Ashmore, Darcy Fehr, Kathia Rock, Luce Vigo, Judith Baribeau, Kim Morgan, Marie Brassard, Angela LaMuse Senyshyn, Kimmi Melnychuk, Melissa Trainor, Pamela Iveta, Catherine Treskow, John Churchill, Matthew Comeau, Alexandre Skeret, Sherpa Macilu, Miguel Eduardo Cueva, Arthur Holden, Marie-Sophie Roy, Anthony Lemke, Victoire DuBois, Elina Löwensohn","Guy Maddin, Evan Johnson",95%,50%
2576,Seasons,2016,PG,95 minutes,Documentary,,"$119,091","Jacques Cluzaud, Jacques Perrin","François Sarano, Philippe Descola, Jean-Marie Pelt, Allain Bougrain-Dubourg, Gilles Boeuf, Yves Coppens, Jesse Ausubel","Jacques Cluzaud, Jacques Perrin, Stéphane Durand",96%,70%
2577,Suicide Squad,2016,PG-13,123 minutes,Action & Adventure,,"$325,021,779",David Ayer,"Will Smith, Jared Leto, Margot Robbie, Joel Kinnaman, Viola Davis, Cara Delevingne, Jai Courtney, Adewale Akinnuoye-Agbaje, Jay Hernandez, Karen Fukuhara, Adam Beach, Jaime FitzSimons, Ike Barinholtz, Christopher Dyson, Bambadjan Bamba, Ted Whittall, David Harbour, Robin Atkin Downes, Robert B. Kennedy, Billy Otis, Shai Pierre-Dixon, James McGowan, Jim Parrack, Derek Perks, Common, Ezra Miller, Aidan Devine, Clive McLean, Frank Zupancic, Kent Sheridan, Roger Shank, Dwight Ireland, Amanda Brugel, Tufford Kennedy, Rosemary DeLosSantos, Kevin Hanchard, Alain Chanoine, Joel Lacoursiere, Jameson Kraemer, Ho Chow, Matt Baram, Birgitte Solem, Scott Eastwood, Kevin Vance, Alex Meraz, Tyler Grey, Nathaniel Brown, Kenneth Choi, Nicholas Van Burek, Agueda Cardenas, Corina Calderon, Daniela Uruena, Nicolas Uruena",David Ayer,26%,60%
2578,The Angels' Share,2013,NR,106 minutes,"Comedy, Drama",,"$687,405",Ken Loach,"Paul Brannigan, John Henshaw, Gary Maitland, William Ruane, Jasmin Riggins, Roger Allam, Siobhan Reilly, Charlie Maclean, Lorne MacFadyen, David Goodall, Jim Sweeney",Paul Laverty,88%,78%
2579,It's Better to Jump,2013,NR,73 minutes,"Documentary, Special Interest",,,"Gina Angelone, Mouna Stewart, Patrick Alexander Stewart, Gina M. Angelone",Sana Moussa,"Gina Angelone, Gina M. Angelone",75%,78%
2580,Gangster Land,2017,NR,88 minutes,Drama,,,Timothy Woodward Jr.,"Milo Gibson, Jamie-Lynn Sigler, Peter Facinelli, Jason Patric, Sean Faris, Mark Rolston, Michael Paré, Sean Kanan, Al Sapienza, Don Harvey, Jason Brooks, Ryan Kiser, Stephen Brown, Ronnie Kerr, Ryan Wiik, Louis Fasanaro, Joe Coffey (VII), Danny Hansen, Shane P. Allen, Christian Hicks","Ian Patrick Williams, Ian Williams",0%,48%
2581,It Stains the Sands Red,2017,NR,92 minutes,Horror,,,Colin Minihan,"Brittany Allen, Juan Riedinger, Merwin Mondesir, Kristopher Higgins, Andrew Supanz","Colin Minihan, Stuart Ortiz",58%,38%
2582,Tom of Finland,2017,NR,114 minutes,"Art House & International, Drama",,"$323,048",Dome Karukoski,"Pekka Strang, Lauri Tilkanen, Jessica Grabowsky, Werner Daehn, Jakob Oftebro, Kari Hietalahti, Jimmy Shaw, Þorsteinn Bachmann",Aleksi Bardy,81%,73%
2583,Elimination Game,2014,NR,90 minutes,"Action & Adventure, Art House & International",,,Jon Hewitt,"Dominic Purcell, Viva Bianca, Robert Taylor (VII), Belinda McClory, Nicholas Hammond, Carmen Duncan, Roger Ward, Suzannah McDonald, Juan Jackson, Stephen Phillips, Peter Houghton, James Wardlaw, Raj Sidhu, Leah Vandenberg, Glenn Maynard, Sol León and Paul Lightfoot, Ian Roberts, Rick Tonna, Chan Griffin, Ra Chapman, Sharelle Starr, Dinka Dzubur, Peter Roordink, Jordan Dowding, Chelsea Simmons","Jon Hewitt, Belinda McClory",20%,8%
2584,Gravity,2013,PG-13,91 minutes,"Drama, Science Fiction & Fantasy",,"$274,084,951",Alfonso Cuarón,"Sandra Bullock, George Clooney, Orto Ignatiussen, Phaldut Sharma, Ed Harris, Amy Warren, Basher Savage","Alfonso Cuarón, Jonás Cuarón, Jonás Cuarón",96%,80%
2585,Half Magic,2018,R,100 minutes,Comedy,,,Heather Graham,"Heather Graham, Angela Kinsey, Stephanie Beatriz, Jason Lewis, Thomas Lennon, Chris D'Elia, Molly Shannon",Heather Graham,58%,79%
2586,Wolves,2017,R,110 minutes,Drama,,,Bart Freundlich,"Michael Shannon, Carla Gugino, Taylor John Smith, Chris Bauer, John Douglas Thompson, Zazie Beetz",Bart Freundlich,36%,46%
2587,Aftermath,2014,R,92 minutes,"Action & Adventure, Mystery & Suspense",,,Peter Engert,"Edward Furlong, Monica Keena, Andre Royo, Jessie Rusu, C.J. Thomason, Christine Kelly, William Baldwin, Ross Britz, Ashley Hudson, Jonathan Camp, Ted Ferguson, Kaleina Cordova, John Kennon Kepper, Shawn Michael, Brandon E. Brooks, Tody Bernard",Christian McDonald,47%,17%
2588,Aftermath,2017,R,92 minutes,"Drama, Mystery & Suspense",,,Elliott Lester,"Arnold Schwarzenegger, Scoot McNairy, Maggie Grace, Judah Nelson, Larry Sullivan, Martin Donovan, Kevin Zegers, Hannah Ware, Mariana Klaveno, Glenn Morshower, Christopher Darga, Teri Clark Linden, Danielle Sherrick, Jeff Panzarella, Aaron Crutchfield, Keith Flippen, Phillip Winters, Kittson O'Neill, Lewis Pullman, Becky Meister, Kyle Merryman, Mo McRae, John Moon Martin, David M. Raine, Brian Gallagher, Eric Watson, Kevin Murray, Christine Dye",Javier Gullón,41%,25%
2589,The Internet's Own Boy: The Story of Aaron Swartz,2014,R,105 minutes,"Documentary, Special Interest",,"$48,911",Brian Knappenberger,"Aaron Swartz, Cindy Cohn, Gabriella Coleman, Cory Doctorow, Peter Eckersley, Brewster Kahle, Orin Kerr, Lawrence Lessig, Rep. Zoe Lofgren, Carl Malamud, Quinn Norton, Tim O'Reilly, Elliot Peters, Alec Resnick, Doc Searls, Philip David Segal, Micah Sifry, Stephen Shultze, Christopher Soghoian, Taren Stinebrickner-Kauffman, Matt Stoller, Ben Swartz, Noah Swartz, Susan Swartz, Ben Wikler, Ronald Wyden","Brian Knappenberger, Lincoln Else",93%,91%
2590,Romeo And Juliet,2014,PG,135 minutes,"Musical & Performing Arts, Special Interest",,,"David Leveaux, Don Roy King","Orlando Bloom, Condola Rashad, Justin Guarini, Christian Camargo, Brent Carver",William Shakespeare,71%,81%
2591,"Roman J. Israel, Esq.",2017,PG-13,117 minutes,Drama,,"$11,887,893",Dan Gilroy,"Denzel Washington, Colin Farrell, Shelley Hennig, Carmen Ejogo, Tony Plana",Dan Gilroy,51%,56%
2592,East Side Sushi,2015,PG,100 minutes,"Comedy, Romance",,,Anthony Lucero,"Diana Elizabeth Torres, Yutaka Takeuchi, Rodrigo Duarte Clark, Kaya Jade Aguirre, Roji Oyama, Miyoko Sakatani, James J. Der Jr., Jesus Fuentes, Tony Quintero, Lane Nishikawa, David Blount-Porter, Anastasia Pritchard, Melissa Locsin",Anthony Lucero,94%,83%
2593,Jackass Presents: Bad Grandpa,2013,R,92 minutes,"Comedy, Documentary",,"$84,961,415",Jeff Tremaine,"Johnny Knoxville, Jackson Nicoll, Spike Jonze, Georgina Cates, Kamber Hejlik, Blythe Barrington-Hughes, Kassidy Hejlik","Johnny Knoxville, Jeff Tremaine, Spike Jonze",60%,60%
2594,90 Minutes In Heaven,2015,PG-13,121 minutes,Drama,,,Michael Polish,"Hayden Christensen, Kate Bosworth, Dwight Yoakam, Hudson Meek, Jason Kennedy, Bobby Batson, Elizabeth Hunter, Fred Dalton Thompson, David Clyde Carr, Catherine Carlen, Gianna Simone, Michael Harding, Rhoda Griffis, Cynthia Barrett, Mark Oliver, Bruce Taylor, Matthew Bauman, Trevor Martin, Salley Hooks, Matthew Cornwell, Jody Thompson, Aaron Webb, Geoffrey Williams, Geordie White, Ashley Bratcher, Vanessa Cloke, Cara Mantella, Kathy Payne, Tang Nguyen, Michael W. Smith, David Carr, Harrison Powell, Marshall Bell, Lynn Cole, Lynne Cole, Michael Crider, Tom Key, Marty Stonerock, Shane Jackson, Deena Beasley, Gregory Alan Williams, Jasper Polish, Rob Demery, Tyler Case, Pastor Don Piper, Nicholas Pryor",Michael Polish,24%,50%
2595,When I Saw You,2012,NR,98 minutes,Drama,,,Annemarie Jacir,"Ruba Blal, Mahmoud Asfa, Saleh Bakri, Ali Elayan, Firas W. Taybeh",Annemarie Jacir,100%,71%
2596,The Strange Woman,1946,NR,100 minutes,"Drama, Mystery & Suspense",,,Edgar G. Ulmer,"Hedy Lamarr, George Sanders, Louis Hayward, Gene Lockhart, Hillary Brooke, Rhys Williams, June Storey, Moroni Olsen, Olive Blakeney, Dennis Hoey, Alan Napier, Ian Keith, Edward Biby, Katherine York, Jessie Arnold",Herb Meadow,40%,50%
2597,Neighbors 2: Sorority Rising,2016,R,92 minutes,Comedy,,,Nicholas Stoller,"Seth Rogen, Zac Efron, Rose Byrne, Chloë Grace Moretz, Kiersey Clemons, Selena Gomez, Dave Franco, Lisa Kudrow, Ike Barinholtz, Christopher Mintz-Plasse, Beanie Feldstein, Carla Gallo, John Early, Johnny Pemberton, Kyle Mooney, Ian Gregg, Jacob Wysocki, Liz Cackowski, Kelsey Grammer, Sam Richardson, Billy Eichner, Brian Huskey, Elise Vargas, Jerrod Carmichael, Clara Mamet, Awkwafina, Hannibal Buress, Zoey Vargas, Abbi Jacobson, Miles Armstrong, Kemuel Crossty, Cameron Hillman, Denryc Hill, Cameron Hill, Brian K. Johnson, Robert Windsor Jones Jr., Harrison Thacker, Robert Windsor Jones Jr., Ciara Bravo","Seth Rogen, Evan Goldberg, Brendan O'Brien, Nicholas Stoller, Andrew Jay Cohen",62%,44%
