,movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
769,769,nerve,2016,PG-13,96 minutes,Mystery & Suspense,,"$38,562,379","Ariel Schulman, Henry Joost","Emma Roberts, Dave Franco, Emily Meade, Miles Heizer, Juliette Lewis, Kimiko Glenn, Marc John Jefferies, Machine Gun Kelly, Brian 'Sene' Marc, Brian ""Sene"" Marc, Ed Squires, Samira Wiley, Kim Ramirez, Josh Ostrovsky, Eric D'Alessandro, Rightor Doyle, Arielle Vandenberg, Jonny Beauchamp, Albert Sidoine, Christopher Breslin, Wesley Volcy, Damond McFarland, Deema Aitken, Michael Drayer, Earl W. Mayers, Diana Kolsky, Matthew Meyer, Michael Birnbaum, Ryan Forsythe, Noam Tomaschoff, Phyllis Barasch, Chloe Wise, Casey Neistat, Sarah Shtern, Miya Strauss, Aris Schwabe, Chet Dillon, Jerami Goodwin, Julia Barasch",Jessica Sharzer,67%,66%
770,770,the captive,2014,R,112 minutes,Mystery & Suspense,,,Atom Egoyan,"Ryan Reynolds, Mireille Enos, Scott Speedman, Rosario Dawson, Kevin Durand, Alexia Fast, Bruce Greenwood, Peyton Kennedy, Brendan Gall, Aaron Poole, Jason Blicker, Aidan Shipley, Ian Matthews, Christine Horne, William MacDonald, Ella Ballentine, Jim Calarco, Michael Vincent Dagostino, Wayne V. Johnson, Wayne Johnson, Serge Keshishian, Samantha Michelle, Duane Murray, Chad Racette, Ryan Racette","Atom Egoyan, David Fraser",30%,33%
771,771,goodbye world,2014,NR,100 minutes,"Comedy, Drama",,,"Denis Hennelly, Denis Henry Hennelly","Kerry Bishé, Caroline Dhavernas, Adrian Grenier, Gaby Hoffmann, Benjamin McKenzie, Mark Webber, Scott ""Kid Cudi"" Mescudi, Remy Nozik, Linc Hand, Laura Kachergus, Frank Drank, Julie Dretzin, McKenna Grace, Patrick Mapel, Jason Stuart","Denis Hennelly, Sarah Adina Smith, Denis Henry Hennelly",24%,32%
772,772,the hunger games: mockingjay - part 1,2014,PG-13,125 minutes,"Action & Adventure, Drama, Science Fiction & Fantasy",,"$295,457,212",Francis Lawrence,"Jennifer Lawrence, Liam Hemsworth, Josh Hutcherson, Julianne Moore, Sam Claflin, Donald Sutherland, Woody Harrelson, Lily Rabe, Robert Knepper, Elizabeth Banks, Philip Seymour Hoffman, Stanley Tucci, Jeffrey Wright, Jena Malone, Elden Henson, Wes Chatham, Natalie Dormer, Willow Shields, Mahershala Ali, Paula Malcomson, Evan Ross, Sarita Choudhury, Stef Dawson, Patina Miller, Caitlin Fowler, Jada Taylor, Nicholas Pryor, Donna Biscoe, Michael Garza, Erika Bierman, Jenique Bennett, Rus Blackwell, Stevie Ray Dallimore, Breann Couch, Jordan Woods-Robinson, Katie Sawhill, Jackson Mizell, Charles Kronmuller","Danny Strong, Peter Craig",66%,71%
773,773,afflicted,2014,R,86 minutes,Drama,,"$121,179","Derek Lee, Clif Prowse","Baya Rehaz, Clif Prowse, Derek Lee, Edo Van Breemen, Zachary J. Gray",,82%,57%
774,774,the hunger games: mockingjay - part 2,2015,PG-13,137 minutes,"Action & Adventure, Drama, Science Fiction & Fantasy",,"$254,641,329",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Julianne Moore, Gwendoline Christie, Robert Knepper, Elden Henson, Wes Chatham, Woody Harrelson, Elizabeth Banks, Jena Malone, Stanley Tucci, Donald Sutherland, Sam Claflin, Michelle Forbes, Toby Jones, Willow Shields, Jeffrey Wright, Mahershala Ali, Evan Ross, Natalie Dormer, Philip Seymour Hoffman, Stef Dawson, Meta Golding, Joe Chrest, Omid Abtahi, Eugenie Bondurant, Patina Miller, Stephanie Jones, Michael Entrekin, Cameron Brinkman, Paula Malcomson, Misty Ormiston, Kim Ormiston, Mark Jeffrey Miller, April Grace, David Hallyday, Linds Edwards, Thomas Blake Jr., Cameron MacConomy, Desmond Phillips, Elle Graham, Lacy Dmitriew, Kate Rachesky, Phillip Trop Linger, Bear Lawrence, Theodore Lawrence, King, David Londoner, David London","Danny Strong, Suzanne Collins, Peter Craig",70%,66%
775,775,good kill,2015,R,103 minutes,Mystery & Suspense,,,Andrew Niccol,"Ethan Hawke, January Jones, Jake Abel, Zoë Kravitz, Bruce Greenwood, Kristen Rakes, Akshay Patel, Alma Sisneros, Michael Sheets, Dylan Kenin, Bill Seward, Stafford Douglas, Rich Chavez, Sachie Capitani, Stephen M. Hardin, Jahan Khalili, Jessica Stotz Harrell, Edric Ray, Colin Jones, Ross Shaw, Peter Coyote, Kevin Wiggins, Zion Leyba, Ryan Montano, Fatima El Bahraouy, El Khttabi Abdelouahab, Chakir Faiz",Andrew Niccol,75%,49%
776,776,happy valley,2014,NR,100 minutes,"Documentary, Drama",,"$22,710",Amir Bar-Lev,"Matt Sandusky, Jay Paterno, Scott Paterno, Lou Prato, Andrew Shubin, Matt Jordan Smith, Joe Posnanski, Michael Pilato",,89%,69%
777,777,the bad batch,2017,R,115 minutes,Drama,,"$180,851",Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Giovanni Ribisi, Keanu Reeves, Yolonda Ross, Jim Carrey",Ana Lily Amirpour,42%,30%
778,778,pioneer,2014,R,106 minutes,"Drama, Mystery & Suspense",,"$4,233",Erik Skjoldbjaerg,"Wes Bentley, Stephen Lang, Aksel Hennie, Stephanie Sigman, Jonathan LaPaglia, Jørgen Langhelle, Ane Dahl Torp, André Eriksen","Nikolaj Frobenius, Hans Gunnarsson, Cathinka Nicolaysen, Erik Skjoldbjaerg, Kathrine Valen",53%,32%
779,779,tower,2016,NR,82 minutes,"Animation, Documentary",,"$98,092",Keith Maitland,"Violett Beane, Blair Jackson, Josephine McAdam, Reece Everett Ryan, Louie Arnette, Monty Muir, Chris Doubek, Aldo Ordonez, Vicky Illk, John Fitch, Karen Davidson, Jeremy Brown, Seamus Bolivar-Ochoa, Cole Bresnehen, Timothy Lucas, Cole Bee Wilson, Lee Zamora",,100%,90%
780,780,war for the planet of the apes,2017,PG-13,140 minutes,"Action & Adventure, Drama, Science Fiction & Fantasy",,"$146,872,826",Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Toby Kebbell, Gabriel Chavarria, Judy Greer, Karin Konoval, Terry Notary, Michael D. Adamthwaite, Ty Olsson, Devyn Dalton, Sara Canning, Aleks Paunovic, Amiah Miller, Allesandro Juliani, Max Lloyd-Jones, Timothy Webber, Lauro Chartrand, Shaun Omaid, Roger R. Cross, Mercedes delaZerda, Mercedes De La Zerda, Doug Chapman, James Pizzinato, Chad Rook, Dean Redman, Steve Baran, Sandy Robson, Levi Meaden, Billy Wickman, Albert Nicholas, Kyle Horton, Paul Luongo, Thomas J. Potter, Mathew Yanagiya, Skye Notary, Willow Notary, Finn Notary, Phoenix Notary, Sadie Aperlo, Matilda Aperlo, Andrew Alexander Reeves","Mark Bomback, Matt Reeves",93%,84%
781,781,the hollars,2016,PG-13,88 minutes,"Comedy, Drama, Kids & Family",,"$1,016,965",John Krasinski,"John Krasinski, Anna Kendrick, Richard Jenkins, Charlie Day, Sharlto Copley, Margo Martindale, Mary Elizabeth Winstead, Josh Groban, Tonea Stewart, Brady Permenter, Didi Costine, Isabela Costine, Gus Sanchez, Randall Park, Mary Kay Place, Ashley Dyke, Tim Crowe, Gustavo Sanchez, Lacey Levy, Debbie Prescott, Nancy Nave, Terence Mosley, Yvonne Angulo",James C. Strouse,44%,58%
