,movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
1153,1153,the machine,2014,R,91 minutes,"Mystery & Suspense, Science Fiction & Fantasy",,,Caradog W. James,"Toby Stephens, Caity Lotz, Denis Lawson, Sam Hazeldine, Pooneh Hajimohammadi, John-Paul Macleod, Helen Griffin, Siwan Morris, Nicola Reynolds, Jade Croot, Jonathan Byrne, Jonathan Christian Byrne, Alan Low, Sule Rimi, Joshua Higgott, Giles Thomas, Cornelius Garrett, Sam Ellis, Richard Shackley, Daniel Llewelyn-Williams, Dafydd Emyr, Ben McGregor, Clark Fisher, Gareth Jones",Caradog W. James,76%,46%
1154,1154,mad as hell,2015,NR,82 minutes,Documentary,,,Andrew Napier,"Cenk Uygur, Bill Clinton, Connie Chung, Wes Clark, Jr., George W. Bush, Johnnie L. Cochran Jr., Wesley Clark, Jesus Godoy, Al Gore, Tom Hanc, Jayar Jackson, Ana Kasparian, David Koller, Wendy Lang, Steve Oh, Lawrence Lewitinn, Ben Mankiewicz, Stephen 'Steve-O' Glover, Jill Pike, Sedef Piker, Dylan Ratigan, Mark Register, Michael Shure, Greg Swaluk, Kenan Turnacioglu, Brian Unger, Prometheus Maximus Uygur, Dogan Uygur",,30%,84%
1155,1155,scouts guide to the zombie apocalypse,2015,R,93 minutes,"Comedy, Horror",,"$3,931,256",Christopher Landon,"Tye Sheridan, Logan Miller, Joey Morgan, Sarah Dumont, Halston Sage, David Koechner, Cloris Leachman, Patrick Schwarzenegger, Sara Malakul Lane, Matthew Cardarople, Elle Evans, Laurel Harris, Niki Koss, Tony Gardner, Rebecca Rowley, Lukas Gage, Leon Charles Farmer, Jeremy Dunn, Hiram A. Murray, John Francis Dillon, Theo Kypri, Blake Anderson, Drew Droege, Brianna Gardner, Efren John Rowan","Emi Mochizuki, Carrie Evans, Lona Williams, Christopher Landon",44%,48%
1156,1156,some girl,2013,NR,89 minutes,"Comedy, Drama",,,Daisy von Scherler Mayer,"Adam Brody, Kristen Bell, Mia Maestro, Jennifer Morrison, Emily Watson, Zoe Kazan",Neil LaBute,55%,15%
1157,1157,time lapse,2015,NR,104 minutes,"Mystery & Suspense, Science Fiction & Fantasy",,,Bradley King,"Danielle Panabaker, Matt O'Leary, George Finn, John Rhys-Davies, Amin Joseph, Jason Spisak, Sharon Maughan, David Figlioli, Judith Drake, Mark Hanson","Bradley King, B.P. Cooper",73%,64%
1158,1158,we are x,2016,R,95 minutes,Documentary,,"$45,028",Stephen Kijak,"X (Japan), Yoshiki, Toshi, Gene Simmons, Sugizo, Wes Borland, Pata, Taiji, hide",,78%,86%
1159,1159,heartstone,2017,NR,129 minutes,Drama,,,Guðmundur Arnar Guðmundsson,"Baldur Einarsson, Blær Hinriksson, Diljá Valsdóttir, Katla Njálsdóttir, Rán Ragnarsdóttir, Jonina Pordis Karlsdottir, Nína Dögg Filippusdóttir, Sveinn Ólafur Gunnarsson, Søren Malling, Gunnar Jónsson, Nanna Kristín Magnúsdóttir, Daniel Hans Erlendsson, Theodor Palsson, Sveinn Sigurbjornsson, Arni Fridriksson, Eyvindur Agust Runolfsson, Magnus Porri Jokulsson, Viktor Agustsson",Guðmundur Arnar Guðmundsson,80%,76%
1160,1160,i don't feel at home in this world anymore.,2017,NR,96 minutes,"Drama, Mystery & Suspense",,,Macon Blair,"Melanie Lynskey, Elijah Wood, David Yow, Jane Levy, Devon Graye, Christine Woods, Robert Longstreet, Gary Anthony Williams, Myron Natwick, Derek Mears, Jason Manuel Olazabal, Lee Eddy, Matt Orduña, Michelle Moreno, Macon Blair, Taylor Tunes, Jana Lee Hamblin, Dana Millican, J.J. Green",Macon Blair,88%,77%
1161,1161,fences,2016,PG-13,133 minutes,Drama,,"$57,642,961",Denzel Washington,"Denzel Washington, Viola Davis, Stephen Henderson, Mykelti Williamson, Russell Hornsby, Jovan Adepo, Saniyya Sidney, Christopher Mele, Lesley Boone, Jason Silvis, Toussaint Raphael Abessolo, Theresa Cook, Dontez James, Malik Abdul Khaaliq, Aristle Jones, IV, Tra'Waan Coles, Chris McCail, Kameron Peters, Joshua Tronoski",August Wilson,94%,75%
1162,1162,dirty grandpa,2016,R,102 minutes,Comedy,,"$34,690,808",Dan Mazer,"Robert De Niro, Zac Efron, Julianne Hough, Aubrey Plaza, Zoey Deutch, Dermot Mulroney, Jason Mantzoukas, Adam Pally, Jeffrey Bowyer-Chapman, Brandon Mychal Smith, Jake Picking, Michael Hudson, Mo Collins, Henry Zebrowski, Danny Glover, Catherine Dyer, Deena Dill, Lane Carlock, Chris Setticase, Eric Goins, Gavin Munn, DeRon Horton, Michael H. Cole, Salley Hooks, Amy Parrish, Eugenia Kuzmina, Joshua Mikel, Warren Steele, Stephanie Astalos-Jones, Chandler Darby, Matthew Cornwell, Shawn Shepard, Michaele Chappell, Blaque Fowler, Nelson Bonilla, Amelia Brain, Wiley Rinaldi, Paul Manzella","John Philips, John Phillips",11%,44%
1163,1163,ace the case: manhattan mystery,2016,PG-13,94 minutes,Mystery & Suspense,,,Kevin Kaufman,"Susan Sarandon, Ripley Sobo, Aaron Sauter, Lev Gorn, Marc Menchaca, Ivana Kane, Arturo Castro, Johnny Tran, Ginna Le Vine, Thomas Cohen, Amy Chang, Scotty Dillin, James Kacey, Ricky Garcia, Shannon Walsh, Esther Zynn, Ezra Barnes, Christopher White, Brian Distance, Douglas J. Aguirre, Clem Cheung, Chetna Goel, Angela Chew, Takyrah Jones, Christine Kellogg, Calvin Ahn, Korie Lee Blossey, Doug Druckner, Mackenzie Dudzik, Cherry Fu, Hiro Honda, Sophia Karam, Christine Kellogg-Darrin, Jalesia Martinez, And Palladino, Hope Salvan, Cliff Samara, Anthony Wills, Jr.",Kevin Kaufman,20%,50%
1164,1164,shaun the sheep movie,2015,PG,84 minutes,"Animation, Comedy",,,"Mark Burton, Richard Starzak","Justin Fletcher, John Sparkes, Omid Djalili, Richard Webber, Kate Harbour, Tim Hands, Andy Nyman, Simon Greenall, Emma Tate, Jack Paulson, Sean Connolly, Dashiell Henry Burton, Dhimant Vyas, Sophie Laughton, Nia Medi James, Stanley Unwin, Nick Park","Mark Burton, Richard Starzak",99%,80%
1165,1165,snowden,2016,R,134 minutes,Drama,,"$21,562,346",Oliver Stone,"Joseph Gordon-Levitt, Shailene Woodley, Zachary Quinto, Melissa Leo, Tom Wilkinson, Rhys Ifans, Nicolas Cage, Scott Eastwood, Joely Richardson, Timothy Olyphant, Ben Schnetzer, Christy Meyers, Jaymes Butler, Robert Firth, LaKeith Stanfield, Rachel Handshaw, Christian Contreras, Parker Sawyers, Kenneth Thomas, Michael Benz, Nicolas Rowe, Erol Sander, Stephanie Simbeck, Ben Chaplin, Mathangi Ray, Ashani Perera, Demitri Goritsas","Kieran Fitzgerald, Oliver Stone",61%,70%
1166,1166,kampai! for the love of sake,2016,NR,95 minutes,Documentary,,,Mirai Konishi,"Philip Harper, John Gauntner, Kosuke Kuji, Chizuru Doi, Cat Ford-Coates, Mitch Fortune, Ken Furukawa, Yoshito Kinoshita, Hiroshi Kuji",Mirai Konishi,33%,44%
1167,1167,jumanji: welcome to the jungle,2017,PG-13,112 minutes,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy",,"$393,201,353",Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Bobby Cannavale, Ser'Darius Blain, Madison Iseman, Morgan Turner, Alex Wolff, Missi Pyle","Chris McKenna, Erik Sommers, Scott Rosenberg, Jeff Pinkner",76%,88%
1168,1168,boyhood,2014,R,165 minutes,Drama,,"$18,859,617",Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Lorelei Linklater, Elijah Smith, Steven Prince, Bonnie Cross, Sydney Orta, Libby Villari, Marco Perella, Jamie Howard, Andrew Villarreal, Shane Graham, Tess Allen, Ryan Power, Sharee Fowler, Mark Finn, Charlie Sexton, Byron Jenkins, Holly Moore, David Blackwell, Barbara Chisholm, Matthew Martinez-Arndt, Cassidy Rose Johnson, Cambell Westmoreland, Jennifer Griffin, Garry Peters, Merrille McCommas, Tamara Jolaine, Jordan Howard, Andrew Bunten, Tyler Strother, Evie Louise Thompson, Brad Hawkins, Savannah Welch, Mika Odom, Sinjin Venegas, Nick Krause, Derek Chase, Angela Rawna, Megan Devine, Jenni Tooley, Landon Collier, Roland Ruiz, Richard Jones, Karen Jones, Gordon Friday, Tom McTigue, Sam Dillon, Martel Summers, David Clark, Zoe Graham, Jesse Tilton, Richard Robichaux, Will Harris, Indica Shaw, Bruce Salmon, Wayne Sutton, Joe Sundell, Sean Tracey, Ben Hodges, Daniel Zeh, Chris Doubek, Andrea Chen, Mona Lee, Bill Wise, Alina Linklater, Charlotte Linklater, Genevieve Kinney, Elijah Ford, Kyle Crusham, Conrad Choucroun, Maximillian McNamara, Taylor Weaver, Jessi Mechler",Richard Linklater,97%,80%
1169,1169,jackie & ryan,2015,PG-13,90 minutes,Drama,,,Ami Canaan Mann,"Ben Barnes, Katherine Heigl, Clea DuVall, Sheryl Lee, Ryan Bingham, Emily Alyn Lind, Nathan Stevens, Chelsea Goodwin, Jeffrey Hanson, Allan Groves, Julie-Anne Liechty, Kenji Sawada, Dave Bresnahan, Jacque Gray, Jared Shipley, Helen Lam, Helene Lam, Ben Hopkin, Ben Hopkins, Karlee Broschinsky, Gilda Cersosimo McBride, Adam Dietlein",Ami Canaan Mann,62%,40%
1170,1170,bitch,2017,NR,93 minutes,Comedy,,,Marianna Palka,"Jason Ritter, Marianna Palka, Jaime King, Brighton Sharbino, Kingston Foster, Rio Mangini, Jason Maybaum, Eric Edelstein",Marianna Palka,67%,30%
1171,1171,see you next tuesday,2014,NR,82 minutes,"Comedy, Drama",,,Drew Tobia,"Eleanore Pienta, Dana Eskelson, Molly Plunk, Keisha Zollar, Beverly Bonner, Ingrid Jungermann, Karley Sciortino, Melodie Sisk, Ann Carr",Drew Tobia,86%,91%
1172,1172,hacksaw ridge,2016,R,139 minutes,"Action & Adventure, Drama",,"$67,115,062",Mel Gibson,"Andrew Garfield, Teresa Palmer, Hugo Weaving, Luke Bracey, Sam Worthington, Vince Vaughn, Rachel Griffiths, Nathaniel Buzolic, Richard Roxburgh, Matt Nable, Firass Dirani, Richard Pyros, Jacob Warner (III), Milo Gibson, Darcy Bryce, Roman Guerriero, Michael Sheasby, Jarin Towney, Luke Pegler, Tim McGarry, Ben Mingay, Nico Cortez, Goran D. Kleut, Richard Pratt, Laura Buckton, Harry Greenwood, Damien Thomlinson, Simon Edds, Bill Young, Thatcher McMaster, Charles Jacobs, Dennis Kreusler, Andrew Sears, Jim Robinson, Nathan Baird, Sam E. Wright, Mikael Koski, Troy Pickering, James Moffett, Josh Dean Williams, Andrew Hansch, John Cannon, Georgia Adamson, Craig Reeves, Adrian Twigg, Sean Lynch, Luke McMahon, Bill Thompson, Kazuaki Ono, Eric Taugherbeck, Hayden Geens, Edward Ned Law, Kazuki Yuyama, Daisuka Takeda, Raphael Dubois, Tim Potter, Santo Tripodi, Lawrence Brewer, John Batziolas, Nobuaki Shimamoto, Hiroshi Kasuga (II), Ryuzaburo Naruse, Adam Bowes, Michael Hennessy, Benjamin McCann, Yukihiro Nagashima, Takehiro Abe, Daniel Thone, Nathan Halls, Nicholas Cowey, Charles Upton, Toshiyuki Teramoto, Honsen Haga","Andrew Knight, Robert Schenkkan",86%,91%
1173,1173,1:54,2018,NR,106 minutes,"Art House & International, Drama",,,Yan England,"Sophie Nélisse, Antoine-Olivier Pilon, Lou-Pascal Tremblay, Robert Naylor, Hudson LeBlanc, Anthony Therrien, Patrice Godin, Guillaume Gauthier, David Boutin",Yan England,40%,57%
1174,1174,trainwreck,2015,R,129 minutes,Comedy,,,Judd Apatow,"Amy Schumer, Bill Hader, Colin Quinn, Brie Larson, Mike Birbiglia, Devin Fabry, Carla Oudin, Josh Segarra, Ryan Farrell, Robert E. Torres, Jim Florentine, Bobby Kelly, Dan Soder, John Cena, Dave Attell, Vanessa Bayer, Tilda Swinton, Randall Park, Jon Glaser, Ezra Miller, Evan Brinkman, Norman Lloyd, LeBron James, Daniel Radcliffe, Marisa Tomei, Keith Robinson, Marina Franklin, Dave Hanson, Kim Caramele, Method Man, Max Alexander, Criscia Richardson, Claudia O'Doherty, Kyle Dunnigan, Kevin Kane, Jr., Tim Meadows, Nikki Glaser, Bridget Everett, Alva Chinn, Arnold Y. Kim, Rob Buntzen, Karen Chamberlain, Tony Romo, Amare Stoudemire, Rachel Feinstein, Victoria Dicce, Lisa Kicielinski, Matthew Broderick, Marv Albert, Chris Evert, Kevin Thompson (II), Leslie Jones, Estee Adoram, Leah O'Donnell, Selena Watkins, Alicia Mazepa, Nicole Serapiglia, Amanda Robinson, Whitney Wiggins, Javoris Carlisle, Aidan Charlery, Warren Hull, Eric Locklin, Luciano Acuna Jr., Derric Stotts, Sterling Jones",Amy Schumer,86%,66%
1175,1175,teenage,2014,NR,78 minutes,"Documentary, Special Interest",,"$19,507",Matt Wolf,"Jena Malone, Ben Whishaw, Alden Ehrenreich, Julia Hummer, Jessie T. Usher, Daniela Leder, Leah Hennessey, Ben Rosenfield (II), Ivy Blackshire, Malik Peters","Matt Wolf, Jon Savage, Matt Wolf",76%,49%
1176,1176,small town crime,2018,R,91 minutes,"Drama, Mystery & Suspense",,,"Eshom Nelms, Ian Nelms","John Hawkes, Anthony Anderson, Octavia Spencer, Clifton Collins Jr., Michael Vartan, Daniel Sunjata, Don Harvey, Jeremy Ratchford, James Lafferty, Dale Dickey, Caity Lotz, Stefanie Scott, Robert Forster","Eshom Nelms, Ian Nelms",75%,72%
1177,1177,victoria & abdul,2017,PG-13,,Drama,,"$21,667,320",Stephen Frears,"Judi Dench, Ali Fazal, Eddie Izzard, Adeel Akhtar, Tim Pigott-Smith, Olivia Williams, Fenella Woolgar, Paul Higgins, Robin Soans, Julian Wadham, Simon Callow, Michael Gambon",Lee Hall,66%,68%
1178,1178,roseanne for president!,2016,NR,98 minutes,"Comedy, Documentary",,"$3,340",Eric Weinrib,"Tom Smothers, Cindy Sheehan, John Argent, Johnny Argent, Rosie O'Donnell, Geraldine Barrera Deocampo, Geraldine Barr, Helen Barr, Sandra Bernhard, Farheen Hakeem, Cynthia McKinney, Michael Moore, Jennifer Pentland, Ben-David Barr, Jill Stein",,60%,36%
1179,1179,st. vincent,2014,PG-13,102 minutes,Comedy,,"$33,454,313",Ted Melfi,"Bill Murray, Melissa McCarthy, Naomi Watts, Chris O'Dowd, Jaeden Lieberher, Terrence Howard, Kimberly Quinn, Lenny Venito, Nathan Corddry, Dario Barosso, Donna Mitchell, Ann Dowd, Scott Adsit, Reg E. Cathey, Deirdre O'Connell, Ray Iannicelli, Greta Lee, Maria Elena Ramirez, Ron McLarty, Niles Fitch, Emma Fisher, David Iacono, Alexandra Fong, Sade DeMorcy, Gabriel Hernández, Elliott Santiago, Melanie Nicholls-King, Portia, Maria-Christina Oliveras, James Andrew O'Connor, Brian Berrebbi, Brenda Wehle, Frank Wood, Orlagh Cassidy, Larry Gray, Joann Lamneck, Kerry Flanagan, Katharina Damm, Jeff Bowser, Amber Clayton, Fred Evanko, Ron Bush, Tim Wilson, J. Elaine Marcos, David Filippi, Tom Durkin, Richard Ford Grayling, Addison Rose Melfi",Ted Melfi,77%,78%
1180,1180,eastern boys,2015,NR,128 minutes,Drama,,,Robin Campillo,"Olivier Rabourdin, Kirill Emelyanov, Danil Vorobyev, Edéa Darcque, Alexander Galkin, Beka Markozashvili, Bislan Yakhiaev, Mohamed Doukouzov, Aitor Bourgade",Robin Campillo,88%,77%
1181,1181,hounds of love,2017,NR,108 minutes,Drama,,,Ben Young,"Emma Booth, Ashleigh Cummings, Stephen Curry, Susie Porter, Damian De Montemas, Harrison Gilbertson, Fletcher Humphrys, Steve Turner, Holly Jones, Michael Muntz, Marko Jovanovic, Liam Graham, Lisa Bennet, Kingsley Judd, Eileen Colocott",Ben Young,90%,70%
1182,1182,dracula untold,2014,PG-13,92 minutes,"Action & Adventure, Drama, Science Fiction & Fantasy",,,"Gary Shore , Gary Shore","Luke Evans, Sarah Gadon, Dominic Cooper, Diarmaid Murtagh, Art Parkinson, Charles Dance, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert, Zach McGowan, Ferdinand Kingsley, Joseph Long, Thor Kristjansson, Jakub Gierszal, Joe Benjamin, Paul Bullion, Mish Boyko, Dilan Gwyn, Arkie Reece, Phil Zimmerman, Dominic Borrelli, Tom Benedict Knight, Paul Casar, Stavros Demetraki, Ruth Baxter, Rachel Kennedy, Louise Parker, Glen Barry, Shane McCaffrey, Gary Whelan, Guillaume Meliot, Jason Coalter, Colan Currin, John Friel, Andrew Laverty, Matthew Akerfeldt, Chris Cherry, Eugene Furphy, Graham Hutton, Chris Keenan, Don Gordon Bell, Graham Cave, Norman Coates, Xander Duffy, Ann Louise Bresnaham, Charlene Gleeson, Ann O'Connor, Gretta Shore, Hunter Boland, Maria Laird, Aodhan McGowan","Bram Stoker, Burk Sharpless, Matt Sazama",24%,57%
1183,1183,what happened to monday,2017,NR,123 minutes,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",,,Tommy Wirkola,"Noomi Rapace, Willem Dafoe, Glenn Close, Robert Wagner, Marwan Kenzari","Max Botkin, Kerry Williamson",60%,67%
1184,1184,winter's tale,2014,PG-13,120 minutes,"Drama, Mystery & Suspense, Science Fiction & Fantasy",,"$10,628,616",Akiva Goldsman,"Colin Farrell, Jessica Brown Findlay, Russell Crowe, William Hurt, Jennifer Connelly, Ripley Sobo, Mckayla Twiggs, Eva Marie Saint, Matt Bomer, Will Smith, Lucy Griffiths (II), Kevin Corrigan, Alan Doyle, Michael Crane, Brian Hutchison, Jonathan Walker, David O'Brien Hart, Maurice Jones, Matthew R. Staley, Scott Grimes, Graham Greene (II), Brenda Wehle, Tom Morrissey, Finn Wittrock, Joshua Henry, Maggie Geha, Caitlin Dulany, Norm Lewis, Kevin Durand, Harriett D. Foy, Rob Campbell, Scotty Dillin, William M. Connor",Akiva Goldsman,13%,43%
1185,1185,amy,2015,R,128 minutes,"Art House & International, Documentary, Musical & Performing Arts, Special Interest",,"$7,851,076",Asif Kapadia,"Amy Winehouse, Yasiin Bey, Mark Ronson, Tony Bennett, Pete Doherty, Blake Fielder-Civil, Mitch Winehouse, Tyler James, Salaam Remi, Janis Winehouse, Monte Lipman, Blake Wood, Lucian Grainge, Nick Shymansky, Juliette Ashby, Nick Gatfield, Lauren Gilbert, Darcus Beese, Chip Somers",,94%,87%
1186,1186,innocence,2014,PG-13,96 minutes,Action & Adventure,,"$292,824",Hilary Brougher,"Kelly Reilly, Sophie Curtis, Graham Phillips, Linus Roache, Sarah Sutherland, Stephanie March, Perrey Reeves, Liya Kebede, Sarita Choudhury, Annie Q, Mikal Evans, Daniel Zovatto, Evelina Turen, Rachel Heller, Noelle Beck, Kelly Killoren Bensimon, Chloe Levine","Hilary Brougher, Tristine Skyler",13%,35%
1187,1187,maurice,1987,R,139 minutes,"Drama, Romance, Gay & Lesbian",,,James Ivory,"James Wilby, Hugh Grant, Rupert Graves, Denholm Elliott, Simon Callow, Billie Whitelaw, Ben Kingsley, Judy Parfitt, Phoebe Nicholls, Mark Tandy, Helena Michell, Kitty Aldridge, Patrick Godfrey, Michael Jenn, Barry Foster, Peter Eyre, Catherine Rabett, Orlando Wells, Helena Bonham Carter, Mark Payton, Gerald McArthur, Miles Richarson, Maria Britneva, Mathew Sim, John Elmes, Alan Foss, Philip Fox, Olwen Griffiths, Chris Hunter, Breffni McKenna, Phillada Sewell, Matthew Sim, Harriet Thorpe, Julian Wadham, Philada Sewell, Richard Warner, Andrew St. Clair, Alan Whybrow, Rick Warner","James Ivory, Ruth Prawer Jhabvala, Kit Hesketh-Harvey",93%,87%
1188,1188,faith of our fathers,2015,PG-13,105 minutes,"Drama, Faith & Spirituality",,"$975,344",Carey Scott,"Kevin Downes, David A.R. White, Stephen Baldwin, Rebecca St. James, Candace Cameron Bure, Sean McGowan, Scott Whyte, Ryan Doom, Chriss Anglin, Peggy Lord Chilton, Michael Daley, Brian F. Durkin, Billoah Greene, Alex Huynh, Sy Richardson, Si Robertson, Hal Rudnick, William Schreck, Carey Scott, Dylan John Seaton, Sean Sedgwick, Patrick Wenk","Carey Scott, Kevin Downes, David A.R. White, Harold Uhl",10%,57%
1189,1189,april and the extraordinary world,2016,PG,105 minutes,"Action & Adventure, Animation, Comedy",,"$294,311","Christian Desmares, Franck Ekinci","Marion Cotillard, Philippe Katerine, Jean Rochefort, Olivier Gourmet, Macha Grenon, Marc-Andre Grondin, Bouli Lanners, Benoit Brière, Anne Coesens","Franck Ekinci, Benjamin Legrand",96%,76%
1190,1190,the layover,2017,R,88 minutes,Comedy,,,William H. Macy,"Kate Upton, Alexandra Daddario, Matt Barr, Matt Jones (XLVIII), Kal Penn, Molly Shannon, Rob Corddry","David Hornsby, Lance Krall",0%,24%
1191,1191,we are your friends,2015,R,96 minutes,Drama,,,Max Joseph,"Zac Efron, Emily Ratajkowski, Wes Bentley, Jonny Weston, Shiloh Fernandez, Alex Shaffer, Jon Bernthal, Alicia Coppola, Wiley M. Pickett, Jon Abrahams, Molly Hagan, Brittany Furlan, Vanessa Lengies, Joey Rudman, Kelsey Formost, Scarlett Benchley, Rebecca Forsythe, Jacqui Holland, Devon Barnes, Andrew Bachelor, Rob Silverman, Timothy Granaderos, Raleigh Adams, Ayden Mayeri, John Francis Dillon, Casey James, Desi Jevon, Ragon Miller, Posso, Kerry Stein","Max Joseph, Meaghan Oppenheimer",39%,42%
1192,1192,mortdecai,2015,R,106 minutes,Action & Adventure,,"$6,847,536",David Koepp,"Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany, Jonathan Pasvolsky, Michael Culkin, Aubrey Plaza, Ulrich Thomsen, Alec Utgoff, Rob DeGroot, Guy Burnet, Paul Whitehouse, Oliver Platt, Norma Atallah, Nicholas Farrell, Karl Theobald, Camilla Marie Beeput, Michael Byrne, Emily Lawrence, James Joyce, Jenna Russell, Carly Steel, Austin Lyon, Ricky Champ, Chris Bearne, Georgie Carter, Benny Maslov, Colette O'Neil, Evie Brodie, Michael Aguiló, Michael Michael Shelford, Andrew Spiers, Paul Westwood, John O'Brien, Jerry T. Adams, Scott Sheldon, Geoff Pilkington, Kumiko Nagano, Junix Inocian, David Y. Cheung, Leon Sua",Eric Aronson,12%,29%
1193,1193,ivory tower,2014,PG-13,90 minutes,Documentary,,"$99,555",Andrew Rossi,"David Boone, Clayton Christensen, Andrew Delbanco, Anya Kamenetz, Victoria Sobel, Jamshed Bharucha, Peter Thiel",,82%,78%
1194,1194,hours,2013,PG-13,97 minutes,"Drama, Mystery & Suspense",,,Eric Heisserer,"Paul Walker, Genesis Rodriguez, Nick Gomez, Christopher Matthew Cook, Judd Lormand, Nancy Nave",Eric Heisserer,60%,61%
1195,1195,austenland,2013,PG-13,97 minutes,"Comedy, Drama, Romance",,"$2,155,334",Jerusha Hess,"Keri Russell, J.J. Feild, Bret McKenzie, Jennifer Coolidge, Georgia King, Jane Seymour, Rupert Vansittart, James Callis, Ricky Whittle","Jerusha Hess, Shannon Hale",30%,53%
1196,1196,siddharth,2014,NR,96 minutes,Drama,,,Richie Mehta,"Rajesh Tailang, Tannishtha Chatterjee, Anurag Arora, Shobha Sharma Jassi, Geeta Agrawal Sharma, Amitabh Srivasta, Amitabh Srivastava, Mukesh Chhabra-Mukesh, Mukesh Chhabra, Khushi Mathur, Irrfan Khan",Richie Mehta,90%,76%
1197,1197,steve jobs: man in the machine,2015,R,120 minutes,Documentary,,,Alex Gibney,Steve Jobs,Alex Gibney,77%,56%
1199,1199,red hollywood,2014,NR,90 minutes,"Documentary, Special Interest",,,"Thom Andersen, Noël Burch",NoStar,"Thom Andersen, Noël Burch",71%,40%
1200,1200,dark was the night,2015,NR,94 minutes,"Drama, Horror, Mystery & Suspense",,,Jack Heller,"Kevin Durand, Lukas Haas, Bianca Kajlich, Steve Agee, Heath Freeman, Sabina Gadecki, Nick Damici, Seth Hendricks, Ethan Khusidman, Joseph Pallister, Charlie Parshley, Bill Paterson, Minerva Scelza",Tyler Hisel,47%,33%
1201,1201,cuba and the cameraman,2017,NR,113 minutes,Documentary,,,Jon Alpert,NoStar,Jon Alpert,100%,91%
1202,1202,forsaken,2016,R,90 minutes,"Art House & International, Drama, Western",,,Jon Cassar,"Kiefer Sutherland, Donald Sutherland, Demi Moore, Brian Cox, Michael Wincott, Aaron Poole, Landon Liboiron, Michael Therriault, Siobhan Williams, Esther Purves-Smith, Lex Cassar, Graeme Black, David Trimble, Joe Norman Shaw, Chris Ippolito, Dylan Smith, Michael Mitchell, Justin Michael Carriere, Wesley Morgan, Christopher Rosamund, David McNally, Christopher Rosamond, Greg Ellis, Donovan Workun, Paul Sillito, Ali Webb, Kira Bradley, Don Bland, Cliff Liknes, Cliff Likness, Brock Morgan, Tom Carey, Christopher Austman, Colin Campbell",Brad Mirman,43%,87%
1203,1203,cantinflas,2014,PG,96 minutes,Drama,,,Sebastián del Amo,"Oscar Jaenada, Michael Imperioli, Ilse Salas, Luis Gerardo Méndez, Gabriela de la Garza, Ana Layevska, Adal Ramones, Barbara Mori, Mauricio Argüelles, Luis Arrieta, Magali Boysselle, Cassandra Ciangherotti, Joaquin Coslo, Joaquín Cosio, Eduardo Ramirez Espana, Ximena González-Rubio, Diana Lein, Jose Carlos Montes, Andrés Montiel, Flor Payán, Teresa Ruiz, Julian Sedgwick, Jose Sefami, Otto Sirgo, Giovanna Zacarías","Sebastián del Amo, Edui Tijerina",45%,68%
1204,1204,big bad wolves,2014,NR,110 minutes,"Comedy, Drama, Mystery & Suspense",,"$19,184","Ahron Keshales, Navot Papushado","Lior Ashkenazi, Rotem Keinan, Tzahi Grad, Dov Glickman, Menashe Noy, Dvir Bendek, Kais Nashef, Nati Kluger, Ami Weinberg, Guy Adler, Arthur Perry, Gur Bentwich","Ahron Keshales, Navot Papushado",77%,69%
1205,1205,a ghost story,2017,R,87 minutes,Drama,,"$1,594,798",David Lowery,"Casey Affleck, Rooney Mara, Will Oldham, Kenneisha Thompson, Rob Zabrecky, Sonia Acevedo, McColm Sephas, Jr., Grover Coulson, Liz Cardenas Franke, Barlow Jacobs, Richard Krause, Dagger Salazar, Carlos Bermudez, Yasmina Gutierrez, Kimberly Fiddes, Daniel Escudero, Kesha Sebert, Jared Kopf, Afomia Hailemeskel, Brea Grant, Augustine Frizzell, Jonny Mars, Rachel Ballard, Rachal Ballard, Bryan Pitts, Margot Tomerlin, Sara Tomerlin, Sylvie Tomerlin, Savanna Walsh",David Lowery,91%,66%
1206,1206,out of the dark,2015,R,92 minutes,"Horror, Mystery & Suspense",,,Lluís Quílez,"Julia Stiles, Scott Speedman, Stephen Rea, Pixie Davies, Vanessa Tamayo, Alejandro Furth, Alvaro Trujillo, Elkin Díaz, Maria Fernanda Yepes, Frank Antonio Cuervo, Julian Bustamante, Edward A. Duran, Beatriz Elena Angel, Jhoceb Andres Primo, Vanessa Alexandra Matoma, María Isabel Gaviria, Gilberto Ramírez","Javier Gullón, Alex Pastor, David Pastor",24%,23%
1207,1207,last days in vietnam,2014,NR,98 minutes,"Documentary, Special Interest",,"$408,651",Rory Kennedy,"Stuart Herrington, Juan Armando Valdez, Kiem Do, Frank Snepp, Henry Kissinger, Dam Pham, Richard Armitage, Pete McCloskey, Miki Nguyen, Paul Jacobs, Jim Laurie","Keven McAlester, Mark Bailey",95%,84%
