,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star
95,144156,1505,559,the secret life of walter mitty,2013,Ben Stiller,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",night at the museum: secret of the tomb,2014,Shawn Levy,"Ben Stiller, Robin Williams, Owen Wilson, Steve Coogan, Ricky Gervais, Dan Stevens (IV), Rebel Wilson, Ben Kingsley, Skyler Gisondo, Rami Malek, Patrick Gallagher, Mizuo Peck, Crystal, Dick Van Dyke, Mickey Rooney, Bill Cobbs, Andrea Martin, Rachael Harris, Brad Garrett, Regina Taufen, Percy Hynes-White, Brennan Elliott, Kerry Van Der Griend, Matthew Harrison, Jody Racicot, Darryl Quon, Paul Chih-Ping Cheng, Gerald Wong, Matty Finochio, Patrick Sabongui, Amir M. Korangy, Louriza Tronco, Sophie Levy, Jin Sangha, James Neate, Kishore Bhatt, Arpit Chaudhary, Sian Doughty, Jordan Gardiner, Helena Kalvak, Shaun Lucas, Martyn Mayger, Orpheus Spiliotopoulos, Chris Woods"
96,145411,2450,564,the family,2013,Luc Besson,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo",the selfish giant,2013,Clio Barnard,"Conner Chapman, Shaun Thomas, Sean Gilder, Ian Burfield, Lorraine Ashbourne, Siobhan Finneran, Steve Evets, Rebecca Manley, Rhys McCoy, Elliott Tittensor, Ralph Ineson, Everal A. Walsh, John Wall, Mohammed Ali, Jamie Michie, Bailey Clapham, Jake Gibson, Sofina-Rose Hussain, Peter-Lee Lowther, Aron Ryan, Macy Shackleton, Patrick McCann, Joshua Foulds, Blake Atkinson, James Booth, Dougie Rooks, Reece Andrews, James Fox, Kayle Stephens, Michael Cahill, Paul Chapman, Beverly Higgins, Harry Calvert, Robert Hudson, Rob Snell, Max Smith, Chris Yates, Ken Christiansen, Vicki Hackett, Matty Bailey, Steven 'Peanut' Walker, Robert Emms, Garry Page, Tim Paley, David Peel, Joshua Haase, Simon Hearn, Mark Pitts"
97,148731,264,570,the martian,2015,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",the longest ride,2015,George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Oona Chaplin, Jack Huston, Melissa Benoist, Lolita Davidovich, Gloria Reuben, Amber Chaney, Brett Edwards, Hayley Lovitt, Michael Lowry, Elea Oberon, Kate Forbes, Tiago Riani, Danny Vinson, Tracey Bonner, Jaret Sears, Hunter Burke, Ash Taylor, Matt McHugh, Jon Stafford, Gina Herron, Floyd Herrington, Joy Jacobson, Naomi Eckhaus, Amy Parrish, Peter Jurasik, Karen Labbe, Barry J. Ratcliffe, George Tillman Jr."
98,149063,965,570,the layover,2017,William H. Macy,"Kate Upton, Alexandra Daddario, Matt Barr, Matt Jones",the longest ride,2015,George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Oona Chaplin, Jack Huston, Melissa Benoist, Lolita Davidovich, Gloria Reuben, Amber Chaney, Brett Edwards, Hayley Lovitt, Michael Lowry, Elea Oberon, Kate Forbes, Tiago Riani, Danny Vinson, Tracey Bonner, Jaret Sears, Hunter Burke, Ash Taylor, Matt McHugh, Jon Stafford, Gina Herron, Floyd Herrington, Joy Jacobson, Naomi Eckhaus, Amy Parrish, Peter Jurasik, Karen Labbe, Barry J. Ratcliffe, George Tillman Jr."
99,149227,1447,570,the longest ride,2015,George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston",the longest ride,2015,George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Oona Chaplin, Jack Huston, Melissa Benoist, Lolita Davidovich, Gloria Reuben, Amber Chaney, Brett Edwards, Hayley Lovitt, Michael Lowry, Elea Oberon, Kate Forbes, Tiago Riani, Danny Vinson, Tracey Bonner, Jaret Sears, Hunter Burke, Ash Taylor, Matt McHugh, Jon Stafford, Gina Herron, Floyd Herrington, Joy Jacobson, Naomi Eckhaus, Amy Parrish, Peter Jurasik, Karen Labbe, Barry J. Ratcliffe, George Tillman Jr."
100,150558,571,576,the secret life of pets,2016,"Chris Renaud, Yarrow Cheney","Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell",life of a king,2014,Jake Goldberger,"Cuba Gooding Jr., Malcolm Mays, Dennis Haysbert, Paula Jai Parker, LisaGay Hamilton, Kevin Kendricks, Pepi Sonuga, Jordan Calloway, Rachel Thomas, Richard T. Jones, Carlton Byrd, George Dick, J.D. Walsh, Derrick McMillon, Meakil Bell, JD Walsh, Lynn A. Henderson, Hammerton Killick, Glenn Fontane, Leketra Long, Michael Hadnot, Dontez Hood, Myron Bates, George Hughes, John Richardson, Kenneth Scott Coopwood, Brendan Waters, Big Jim Calloway, Melanesia, Jackson Bond, Joe Howard, Deanna Lynn Walsh, Alfonso Freeman, Kevin Chhann, Danielle Angeli, Norma Royston, Eugene Clarence Brown Jr., Blake Cooper Griffin, April Gooding, Greg Gayne, Jaida Benjamin, Edouardo Guerrero, Thurston Hill, Everett Booth, Mir Wave"
101,151113,303,582,the gift,2015,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman",we the parents,2013,James Takata,"Pastor Kerry Allison, Ben Austin, Jason Bartlett, Kevin Daniels, Mari Falcone, Clay Crutchfield, Burt Welleford, Jun Yao"
102,151620,2319,582,the mechanic,2011,Simon West,"Jason Statham, Ben Foster, Donald Sutherland, Tony Goldwyn",we the parents,2013,James Takata,"Pastor Kerry Allison, Ben Austin, Jason Bartlett, Kevin Daniels, Mari Falcone, Clay Crutchfield, Burt Welleford, Jun Yao"
103,153777,118,593,the avengers,2012,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",the last impresario,2014,Gracie Otto,"Anna Wintour, John Cleese, Gracie Otto, Naomi Watts, Lorne Michaels, John Waters, Robert Shaye, Wallace Shawn, Jeremy Thomas, Brian Thomson, Peter Richardson, Jim Sharman, Greta Scacchi, Patricia Quinn, Joshua White, Colin Vaines, Rachel Ward, Alan Yentob, Robert Fox, Alan Finkelstein, Sabrina Guinness, Lyndall Hobbs, Lou Adler, Nell Campbell, Nigel Planer, Yoko Ono, Jean Pigozzi, Barry Humphries, Bill Oddie, Kate Moss, Richard O'Brien"
104,153907,2450,593,the family,2013,Luc Besson,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo",the last impresario,2014,Gracie Otto,"Anna Wintour, John Cleese, Gracie Otto, Naomi Watts, Lorne Michaels, John Waters, Robert Shaye, Wallace Shawn, Jeremy Thomas, Brian Thomson, Peter Richardson, Jim Sharman, Greta Scacchi, Patricia Quinn, Joshua White, Colin Vaines, Rachel Ward, Alan Yentob, Robert Fox, Alan Finkelstein, Sabrina Guinness, Lyndall Hobbs, Lou Adler, Nell Campbell, Nigel Planer, Yoko Ono, Jean Pigozzi, Barry Humphries, Bill Oddie, Kate Moss, Richard O'Brien"
