_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star
52618,1577,203,the vault,2017,Dan Bush,"James Franco, Scott Haze, Taryn Manning, Francesca Eastwood",the adderall diaries,2016,Pamela Romanowsky,"Ed Harris, Amber Heard, Cynthia Nixon, James Franco, Christian Slater, Wilmer Valderrama, Jim Parrack, Timothée Chalamet, Danny Flaherty, Tonya Glanz, Michael Cristofer, Raymond T. Williams, Meghan Mazurczyk, Jessica Leccia, Tamzin Brown, Casper Andreas, Rochelle Bostrom, Katrina E. Perkins, Jimmy Lee Gary Jr., Gabriela Fresquez, Laura Frost, Edward M. Kelahan, Julienne Hanzelka Kim, Alex Maizus, Giulia Cicciari, Chris J. Cullen, Jake Katzman, Marian Volk, Lori Burch, Noelle Cristiano, James Farley, Joel Quinones, Ky Soto, Sean Martin, Kevin Michael Kennedy, Eliana Fanders, Giuseppe Cicciari, Eva M. Gross, Gilberto Quinones, Bradley Growden"
52766,115,204,logan,2017,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",logan,2017,James Mangold,"Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant, Dafne Keen, Richard E. Grant, Eriq La Salle, Elise Neal, Elizabeth Rodriguez, Quincy Fouse, Al Coronel, Frank Gallegos, Anthony Escobar, Rey Gallegos, Krzysztof Soszynski, Steve Dunlevy, Daniel Bernhardt, Ryan Sturz, Brandon Melendy, Jeremy Fitzgerald, Luke Hawx, Chris Palermo, Paul Andrew O'Connor, Maureen Brennan, Jayson Genao, Hannah Westerfield, Bryant Tardy, Ashlyn Casalegno, Alison Fernandez, Parker Lovein, Jimmy Gonzales, Dave Davis, Lennie Loftin, Mark Ashworth, James Handy, Bryce Romero, Phi Vu, Chester Rushing, David E. Simpson, Lauren Gros, John Raymond, Vanessa Cloke, Doris Morgado, Katie Anne Mitchell, Lara Grice, James Moses Black, Ned Yousef, Michael Lehr, Baxter Humby, Bryan Sloyer, Daniel Hernández, John Bernecker, Evan D. Taylor, Joe Nin Williams, Toby Holguin, Robert Wu, Han Soto, Rissa Kilar, Salef Celiz, Aidan Kennedy, Nayah Murphy, Chase Cubia, Emma Teo, Vincenzo Lucatorto, Noell Jellison, Kelton DuMont, Damon Carney, Cynthia Woods, Mali O'Connor, Robert Vargas, David Paris"
54554,515,209,breathe,2017,Andy Serkis,"Andrew Garfield, Claire Foy, Hugh Bonneville, Ed Speleers",breathe,2017,Andy Serkis,"Andrew Garfield, Claire Foy, Diana Rigg, Miranda Raison, Dean-Charles Chapman"
55133,2833,211,the woman in black,2012,James Watkins,"Daniel Radcliffe, Janet McTeer, Ciarn Hinds, Emma Shorey",the angriest man in brooklyn,2014,Phil Alden Robinson,"Robin Williams, Mila Kunis, Peter Dinklage, Melissa Leo, Hamish Linklater, James Earl Jones, Richard Kind, Isiah Whitlock Jr., Sutton Foster, Lee Garlington, Daniel Raymont, Ari Barkan, Joseph Basile, Sunah Bilsted, José Báez, Kevin Cannon, Hank Chen, Adam Chernick, Roy Milton Davis, David Doumeng, Ayse Eldek, Elli, Sawyer Ever, Chris Gethard, Jeremie Harris, Anthony Jabre, Rock Kohli, Claudia McLain, Olga Merediz, Len Murach, Noah Radcliffe, Da'Vine Joy Randolph, Kirk Taylor, Marcello Thedford"
55662,1514,212,song to song,2017,Terrence Malick,"Ryan Gosling, Rooney Mara, Michael Fassbender, Natalie Portman",song to song,2017,Terrence Malick,"Ryan Gosling, Rooney Mara, Michael Fassbender, Natalie Portman, Cate Blanchett, Holly Hunter, Bérénice Marlohe, Val Kilmer, Lykke Li, Olivia Grace Applegate, Dana Falconberry, Linda Emond, Louanne Stephens, Christin Sawyer Davis, Tom Sturridge"
55998,2486,218,dark places,2015,Gilles Paquet-Brenner,"Charlize Theron, Nicholas Hoult, Christina Hendricks, Chlo Grace Moretz",dark places,2015,Gilles Paquet-Brenner,"Charlize Theron, Nicholas Hoult, Corey Stoll, Chloë Grace Moretz, Christina Hendricks, Tye Sheridan, Sterling Jerins, Andrea Roth, Sean Bridgers, J LaRose, Shannon Kook, Jennifer Pierce, Natalie Precht, Madison McGuire, Lori Z. Cordova, Denise Williamson, Jeff Chase, Drea de Matteo, Addy Miller, Laura Cayouette, Richard Gunn, Michael Crabtree, Glenn Morshower, John F. Daniel, Steve Shearer, Carl Palmer, Arthur Simone, Herbert P.J. Marshall, James Moses Black, Dan Hewitt Owens, Mary Kim Sipes, Tyler Forrest, Dora Madison"
56664,1496,220,the boy,2016,William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",the blackcoat's daughter,2017,Oz Perkins,"Emma Roberts, Kiernan Shipka, Lucy Boynton, Lauren Holly, James Remar"
58771,550,228,rough night,2017,Lucia Aniello,"Scarlett Johansson, Kate McKinnon, Zo Kravitz, Ilana Glazer",rough night,2017,Lucia Aniello,"Scarlett Johansson, Kate McKinnon, Ilana Glazer, Zoë Kravitz, Jillian Bell, Demi Moore, Ty Burrell, Natalie Gold, Dean Winters, Paul W. Downs, Colton Haynes"
58787,1242,230,novitiate,2017,Maggie Betts,"Eline Powell, Dianna Agron, Julianne Nicholson, Margaret Qualley",novitiate,2017,Margaret Betts,"Margaret Qualley, Melissa Leo, Julianne Nicholson, Dianna Agron, Denis O'Hare, Morgan Saylor"
58966,207,237,geostorm,2017,Dean Devlin,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara",geostorm,2017,Dean Devlin,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara, Daniel Wu, Eugenio Derbez, Amr Waked, Adepero Oduye, Andy Garcia, Ed Harris, Robert Sheehan, Richard Schiff, Mare Winningham, Zazie Beetz, Talitha Bateman"
